;trait_index;trait_subindex;Ochos;Arcy;La Naulette;Malarnaud;Podbaby;Tilbury;Sligo;Spy I;Spy II;Krapina piece 1; Krapina piece 2;Krapina;Krapina A;Krapina B;Krapina C;Krapina D;Krapina E;Krapina F;Krapina G;Krapina H;Krapina I;Neandertal;Gibraltar;Pithecanthropus;Kannstatt;Galey Hill;Brunn;Brux;Egisheim;Nowosiolka;trait_name_pl;trait_name_de_Czekanowskis_TabelleI;Czekanowskis_trait_index_TabelleI;trait_name_eng;units;p25_similarity_table_x_column;p25_similarity_table_trait_index;components_index_variable;dependent_index_variable
trait_value;VIII;2;;;;;;;;115;124;;;;;;;;;;;;;133;;;135;;;135;130;133;Luk: nasion-bregma;Nasion-Bregma-Bogen;11;;mm;1;14;TRUE;FALSE
trait_min;VIII;2;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;Luk: nasion-bregma;Nasion-Bregma-Bogen;11;;mm;;;TRUE;FALSE
trait_max;VIII;2;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;Luk: nasion-bregma;Nasion-Bregma-Bogen;11;;mm;;;TRUE;FALSE
trait_value;VIII;3;;;;;;;;93.9;92.7;;;;;;;;;;;;;87.2;;94.6;86.67;;;85.1;88.5;87.22;Wskaznik a wypuklosci sklepienia kosci czolowej;Sehnenbogen-Index des Frontale;9;;;1;15;FALSE;TRUE
trait_value;VIII;4;;;;;;;;;;;;;90.3;;;;;;;;;89.4;;;;;;;;92.8;Wskaznik b wypuklosci sklepienia kosci czolowej;;;;;1;16;FALSE;TRUE
trait_min;VIII;4;;;;;;;;89.4;89.4;;;;;;;;;;;;;;;;;;;;;;Wskaznik b wypuklosci sklepienia kosci czolowej;;;;;;;FALSE;TRUE
trait_max;VIII;4;;;;;;;;93.8;93.8;;;;;;;;;;;;;;;;;;;;;;Wskaznik b wypuklosci sklepienia kosci czolowej;;;;;;;FALSE;TRUE
trait_value;IX;1;;;;;;;;32;30;;;;;;28.2;;;;;;;38;36;24;19;24;30;24;;25;Cieciwa glabellarna kosci czolowej;Sehne der Pars glabellaris des Frontale;12;;mm;2;17;TRUE;FALSE
trait_value;IX;2;;;;;;;;81;92;;;;;;86;;;;;;;86;82;;104;95;96;99;;99;Cieciwa cereblarna kosci czolowej;Sehne der Pars celebralis des Frontale;13;;mm;3;18;TRUE;FALSE
trait_min;IX;2;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;Cieciwa cereblarna kosci czolowej;Sehne der Pars celebralis des Frontale;13;;mm;;;TRUE;FALSE
trait_max;IX;2;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;;Cieciwa cereblarna kosci czolowej;Sehne der Pars celebralis des Frontale;13;;mm;;;TRUE;FALSE
trait_value;IX;3;;;;;;;;;34.4;;;;;;32.7;;;;;;;44.2;43;27.6;18.2;25.2;31.2;24.24;29;25.25;Wskaznik glabello-cerebralny;Cerebro-Glabellar-Index;14;;;3;19;FALSE;TRUE
trait_min;IX;3;;;;;;;;40.9;;;;;;;;;;;;;;;;;;;;;;;Wskaznik glabello-cerebralny;Cerebro-Glabellar-Index;14;;;;;FALSE;TRUE
trait_max;IX;3;;;;;;;;41.5;;;;;;;;;;;;;;;;;;;;;;;Wskaznik glabello-cerebralny;Cerebro-Glabellar-Index;14;;;;;FALSE;TRUE
trait_value;X;1;;;;;;;;155.5;147;;;;;;;;;;;;;151;;154.5;;;;143.5;;139;Kat wypuklosci pars cerebralis kosci czolowej;Bogenwinkel d.Pars cerebralis;15;;degree;3;20;FALSE;FALSE
trait_value;XI;1;;;;;;;;83;100;;;;;;;;;;;;;95;;;113;;;105;;105;Luk pars cerebralis kosci czolowej;Bogenlange d. Pars cerebralis;16;;mm;3;21;TRUE;FALSE
trait_min;XI;1;;;;;;;;;;;;;;;;;;;;;;;;78;;;;;;;Luk pars cerebralis kosci czolowej;Bogenlange d. Pars cerebralis;16;;mm;;;TRUE;FALSE
trait_max;XI;1;;;;;;;;;;;;;;;;;;;;;;;;98;;;;;;;Luk pars cerebralis kosci czolowej;Bogenlange d. Pars cerebralis;16;;mm;;;TRUE;FALSE
trait_value;XI;2;;;;;;;;97.5;92;;;;;;;;;;;;;95.5;;96.1;92.04;;;94.29;;92.38;Wskaznik wypuklosci pars cerebralis kosci czolowej;Sehnen-Bogen-Index der Pars cerebralis des Frontale;17;;;1;22;FALSE;TRUE
trait_value;XII;1;;;;;;;;198;196;;;;;;;197.5;;;;;;199;187;181;174;201;201;;;194;Cieciwa glabella-inion;Glabella-Inion-Lange;18;;mm;2;23;TRUE;FALSE
trait_min;XII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;Cieciwa glabella-inion;Glabella-Inion-Lange;18;;mm;;;TRUE;FALSE
trait_max;XII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;;;Cieciwa glabella-inion;Glabella-Inion-Lange;18;;mm;;;TRUE;FALSE
trait_value;XII;2;;;;;;;;34.8;35.2;;;;;;;31.8;;;;;;38.4;;44.1;;;;;;35.56;Wskaznik polozenia bregmy;;;;;1;24;FALSE;TRUE
trait_value;XIII;1;;;;;;72.1;;71.2;71.2;;;;72.5;;66.4;;;;;;;73.1;64.2;65.4;65.7;;;;61.3;72.22;Wskaznik czolowo-ciemieniowy;Transversalers Frontal-Index;19;;;1;25;FALSE;TRUE
trait_min;XIII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;Wskaznik czolowo-ciemieniowy;Transversalers Frontal-Index;19;;;;;FALSE;FALSE
trait_max;XIII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;Wskaznik czolowo-ciemieniowy;Transversalers Frontal-Index;19;;;;;FALSE;FALSE
trait_value;XIV;1;;;;;;;;;;;;86.3;;;;92.8;;;;;;94.5;;;;;;;;91.18;Wskaznik wypuklosci kosci ciemieniowej;;;;;1;26;FALSE;FALSE
trait_value;XV;1;;;;;;;;104.3;96.7;;;;;;;;;;;;;;;85.8;;;;92.6;95.3;102.26;Wskaznik kosci ciemieniowych;Sagittaler Frontoparietal-Index;20;;;1;27;FALSE;FALSE
trait_min;XV;1;;;;;;;;;;;;;;;;;;;;;;82.7;;;;;;;;;Wskaznik kosci ciemieniowych;Sagittaler Frontoparietal-Index;20;;;;;FALSE;TRUE
trait_max;XV;1;;;;;;;;;;;;;;;;;;;;;;89.4;;;;;;;;;Wskaznik kosci ciemieniowych;Sagittaler Frontoparietal-Index;20;;;;;FALSE;TRUE
trait_value;XVI;1;;;;;;;;;198;;;;;;178;197.5;;;;;;199;;181;178;205;204;;;200;Najwieksza dlugosc czaszki;Groesste Schaedellaenge;21;;mm;2;28;TRUE;FALSE
trait_min;XVI;1;;;;;;;;;;;;;;;;;;;;;;;190;;;;;190;;;Najwieksza dlugosc czaszki;Groesste Schaedellaenge;21;;mm;;;TRUE;FALSE
trait_max;XVI;1;;;;;;;;;;;;;;;;;;;;;;;192.5;;;;;195;;;Najwieksza dlugosc czaszki;Groesste Schaedellaenge;21;;mm;;;TRUE;FALSE
trait_value;XVI;2;;;;;;140;;;;;;;;;149;169;;;;;;147;148;133;146;130;139;;;144;Najwieksza szerokosc czaszki;Groesste Schaedelbreite;22;;mm;2;29;TRUE;FALSE
trait_min;XVI;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;;;Najwieksza szerokosc czaszki;Groesste Schaedelbreite;22;;mm;;;TRUE;FALSE
trait_max;XVI;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;;;Najwieksza szerokosc czaszki;Groesste Schaedelbreite;22;;mm;;;TRUE;FALSE
trait_value;XVI;3;;;;;;;;72.2;77.2;;;;;;83.7;85.5;;;;;;73.9;77.9;73.4;82;63.4;68.2;69;;72;Wskaznik szerokosciowo-dlugosciowy;Laengen-Breiten-Index;23;;;2;30;FALSE;TRUE
trait_value;XVII;1;;;;;;;;81;87;;;;;;82;83.5;;;;;;;85;62;105;97;103;;;104;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehe ueber Glabella-Inion;24;;mm;3;31;TRUE;FALSE
trait_min;XVII;1;;;;;;;;;;;;;;;;;;;;;;80.5;;;;;;85;;;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehe ueber Glabella-Inion;24;;mm;;;TRUE;FALSE
trait_max;XVII;1;;;;;;;;;;;;;;;;;;;;;;84;;;;;;92;;;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehe ueber Glabella-Inion;24;;mm;;;TRUE;FALSE
trait_value;XVIII;1;;;;;;;;40.9;44.3;;;;;;46;42.2;;;;;;40.4;45.4;34.2;;48.2;51.2;;55.5;53.61;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehen-Index (Glabella-Inion);25;;;3;32;FALSE;TRUE
trait_min;XVIII;1;;;;;;;;;;;;;;;;;;;;;;;;;58.99;;;47.6;;;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehen-Index (Glabella-Inion);25;;;;;FALSE;TRUE
trait_max;XVIII;1;;;;;;;;;;;;;;;;;;;;;;;;;60.34;;;51.1;;;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-inion;Kalottenhoehen-Index (Glabella-Inion);25;;;;;FALSE;TRUE
trait_value;XIX;1;;;;;;;;51;58;;;;;;;53;;;;;;;;;75;;;56;70;66;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehe ueber Glabella-Lambda;26;;mm;3;33;TRUE;FALSE
trait_min;XIX;1;;;;;;;;;;;;;;;;;;;;;;54.5;;;;;;;;;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehe ueber Glabella-Lambda;26;;mm;;;TRUE;FALSE
trait_max;XIX;1;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;Wysokosc sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehe ueber Glabella-Lambda;26;;mm;;;TRUE;FALSE
trait_value;XX;1;;;;;;;;27.4;31.3;;;;;;;29.3;;;;;;29.4;;;;;;30.2;37.8;34.02;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehen-Index (Glabella-Lambda);27;;;2;34;FALSE;TRUE
trait_min;XX;1;;;;;;;;;;;;;;;;;;;;;;;;;42.1;;;;;;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehen-Index (Glabella-Lambda);27;;;;;FALSE;TRUE
trait_max;XX;1;;;;;;;;;;;;;;;;;;;;;;;;;43.3;;;;;;Wskaznik wysokosci sklepienia czaszki w stosunku do cieciwy: glabella-lambda;Kalottenhoehen-Index (Glabella-Lambda);27;;;;;FALSE;TRUE
trait_value;XXI;1;;;;;;;;;;;;;;;76;65;;;;;;66.5;;;;74;78;;;82;Kat lambda;;;;degree;3;35;FALSE;FALSE
trait_min;XXI;1;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;Kat lambda;;;;degree;;;FALSE;FALSE
trait_max;XXI;1;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;Kat lambda;;;;degree;;;FALSE;FALSE
trait_value;XXII;1;;;;;;;;;;;;;;;;57;;;;;;51.5;36;;;42;42;;;36;Kat opisthion;;;;degree;3;36;FALSE;FALSE
trait_min;XXII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kat opisthion;;;;degree;;;FALSE;FALSE
trait_max;XXII;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kat opisthion;;;;degree;;;FALSE;FALSE
trait_value;XXIII;1;;;;;;;;;;;;;77;80.4;77;77;;;;;;;;;;;;;;81.45;Wskaznik wypuklosci potylicy;;;;;2;37;FALSE;FALSE
trait_value;XXVI;1;;;;;;;;28;;;;;;;21;;27.7;24.7;;;;;;;;;;;;18;Cieciwa akanthion-prosthion;;;;mm;2;40;FALSE;FALSE
trait_value;XXVII;1;;24;23;22;;;;33;;;;;;25;20;29;24.1;27.4;27.5;;32.2;;;;;;;;;28;Wysokosc zuchwy przy zebach trzonowych;;;;mm;1;41;TRUE;FALSE
trait_min;XXVII;1;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;Wysokosc zuchwy przy zebach trzonowych;;;;mm;;;TRUE;FALSE
trait_max;XXVII;1;;;;;;;;;;;;;;;;;;;;34.3;;;;;;;;;;;Wysokosc zuchwy przy zebach trzonowych;;;;mm;;;TRUE;FALSE
trait_value;XXVII;2;;28;31;26;;;;38;;;;;;25.3;;;35;31;;40;42.3;;;;;;;;;35;Wysokosc zuchwy w okolicy spojenia;;;;mm;1;42;TRUE;FALSE
trait_min;XXVII;2;;;;;;;;;;;;;;;28.5;30.5;;;30.4;;;;;;;;;;;;Wysokosc zuchwy w okolicy spojenia;;;;mm;;;TRUE;FALSE
trait_max;XXVII;2;;;;;;;;;;;;;;;29;33;;;31.5;;;;;;;;;;;;Wysokosc zuchwy w okolicy spojenia;;;;mm;;;TRUE;FALSE
trait_value;XXVII;3;;85.7;74.19;84.6;;;;86.8;;;;;;;;84.8;68.8;;;85.7;71.3;;;;;;;;;80;Wskaznik wysokosci zuchwy;;;;;1;43;FALSE;TRUE
trait_min;XXVII;3;;;;;;;;;;;;;;;;;;;88.8;;;;;;;;;;;;Wskaznik wysokosci zuchwy;;;;;;;FALSE;TRUE
trait_max;XXVII;3;;;;;;;;;;;;;;;;;;;92.1;;;;;;;;;;;;Wskaznik wysokosci zuchwy;;;;;;;FALSE;TRUE
trait_value;XXVIII;1;18;15.5;14;13;;;;15;;;;;;;13.4;13.6;13.1;14.5;14.4;15.4;15;;;;;;;;;14;Grubosc ciala zuchwy w okolicy spojenia;;;;mm;1;44;FALSE;FALSE
trait_value;XXIX;1;66;;;;;;;68;;;;;;;70.4;;;;;66.5;74;;;;;;;;;70;Odleglosc krawedzi zewnetrznych 2-ich zeobw trzonowych;;;;mm;1;45;FALSE;FALSE
trait_value;XXX;;;;89;;;;;84.5;;;;;;;96.5;94;95;102;103.5;106;94;;;;;;;;;68;Kat zuchwy przedni;;;;degree;3;46;FALSE;FALSE
trait_value;XXXI;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;Szczeka gorna szerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;1;;;;;;;;;;;;9.2;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;1;;;;;;;;;;;;10.5;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;2;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;6.7;Szczeka gorna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;2;;;;;;;;;;;;8.25;;;;;;;;;;;;;;;;;;7;Szczeka gorna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;Szczeka gorna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;3;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;3;;;;;;;;;;;;13.3;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.1;Szczeka gorna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;4;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;4;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;Szczeka gorna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
