;trait_index;trait_subindex;Ochos;Arcy;La Naulette;Malarnaud;Podbaby;Tilbury;Sligo;Spy I;Spy II;Krapina piece 1; Krapina piece 2;Krapina;Krapina A;Krapina B;Krapina C;Krapina D;Krapina E;Krapina F;Krapina G;Krapina H;Krapina I;Neandertal;Gibraltar;Pithecanthropus;Kannstatt;Galey Hill;Brunn;Brux;Egisheim;Nowosiolka;trait_name_pl;trait_name_de_Czekanowskis_TabelleI;Czekanowskis_trait_index_TabelleI;trait_name_eng;units;p25_similarity_table_x_column;p25_similarity_table_trait_index;components_index_variable;dependent_index_variable
trait_min;XXXI;14;;;;;;;;;;;;7.8;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;14;;;;;;;;;;;;8.3;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.5;Szczeka dolna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;15;;;;;;;;;;;;11.2;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;15;;;;;;;;;;;;13.8;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;Szczeka dolna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;16;;;;;;;;;;;;11.4;;;;;;;;;;;;;;;;;;11.5;Szczeka gorna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;16;;;;;;;;;;;;12.5;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Szczeka dolna szerokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;17;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;Szczeka gorna szerokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;17;;;;;;;;;;;;13.6;;;;;;;;;;;;;;;;;;;Szczeka dolna szerokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;18;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;9;Szczeka dolna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.1;Szczeka dolna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;19;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;19;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;Szczeka dolna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;20;;;;;;;;;;;;10.5;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;20;;;;;;;;;;;;12.4;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5;Szczeka dolna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;21;;;;;;;;;;;;10.6;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;21;;;;;;;;;;;;11.4;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;Szczeka dolna grubosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;22;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;22;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;Szczeka dolna grubosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;23;;;;;;;;;;;;13.4;;;;;;;;;;;;;;;;;;10;Szczeka dolna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab C;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;Szczeka dolna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;24;;;;;;;;;;;;8.6;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;24;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab P;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;Szczeka dolna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;25;;;;;;;;;;;;6.5;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;25;;;;;;;;;;;;9.4;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab M1;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;26;;;;;;;;;;;;6.8;;;;;;;;;;;;;;;;;;6.5;Szczeka dolna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;26;;;;;;;;;;;;7.5;;;;;;;;;;;;;;;;;;7.5;Szczeka dolna wysokosc korony zab M2;;;;mm;2;47;FALSE;FALSE
trait_value;XXXI;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;Szczeka dolna wysokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_min;XXXI;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
trait_max;XXXI;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Szczeka dolna wysokosc korony zab M3;;;;mm;2;47;FALSE;FALSE
